product,heinemann_price,currency,size,type,cheapest_store,cheapest_price
"Kylie Minogue, Signature Rosé, Vin de France, semi-dry, rosé (screw cap) 0.75L",9.99,EUR,NA,NA,Heinemann,9.99
Issey Miyake L'Eau d'Issey pour Homme Deodorant Stick Alcohol-Free 75 g,31.99,EUR,NA,NA,Heinemann,31.99
Issey Miyake L'Eau d'Issey pour Homme Duo-Set,74.99,EUR,NA,NA,Heinemann,74.99
Issey Miyake L'Eau d'Issey pour Homme Solar Lavender Eau de Toilette Intense 100 ml,99.99,EUR,100,EDT,Heinemann,99.99
Issey Miyake L'Eau d'Issey pour Homme Solar Lavender Eau de Toilette Intense 100 ml,99.99,EUR,100,EDT,Heinemann,99.99
Issey Miyake L'Eau d'Issey Eau de Parfum Intense 50 ml,89.99,EUR,50,EDP,Heinemann,89.99
Issey Miyake L'Eau d'Issey pour Homme Duo-Set,74.99,EUR,NA,NA,Heinemann,74.99
Narciso Rodriguez For Her Coffret,67.99,EUR,NA,NA,Heinemann,67.99
Narciso Rodriguez For Her Coffret,67.99,EUR,NA,NA,Heinemann,67.99
Narciso Rodriguez For Her Coffret,67.99,EUR,NA,NA,Heinemann,67.99
Narciso Rodriguez Les Luminances Patchouli Musc Eau de Parfum Intense 100 ml,239.99,EUR,100,EDP,Heinemann,239.99
America's ultimate miniatures sharing assortment 500g,21.99,EUR,NA,NA,Heinemann,21.99
Narciso Rodriguez Les Luminances Jasmine Musc Eau de Parfum Intense 100 ml,249.99,EUR,100,EDP,Heinemann,249.99
Tom Ford Noir Eau de Parfum 100 ml,149.99,EUR,100,EDP,Heinemann,149.99
Shiseido Vital Perfection Overnight Firming Treatment 50 ml,139.99,EUR,50,NA,Heinemann,139.99
Shiseido Vital Protection New Uplifting and Firming Express Eye Mask,89.99,EUR,NA,NA,Heinemann,89.99
Shiseido Vital Perfection Uplifting and Firming Day Cream 50 ml,129.99,EUR,50,NA,Heinemann,129.99
